reg_number,contract_info_id,status,customer,price,supplier_name,supplier_inn,supplier_kpp,supplier_address,supplier_phone,supplier_email,customer_group,customer_section,supplier_group,supplier_section,customer_group_name,customer_section_name,supplier_group_name,supplier_section_name
№ 2323000334725000050,106730715,Исполнение завершено,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""ТРУБЧЕВСКАЯ ЦЕНТРАЛЬНАЯ РАЙОННАЯ БОЛЬНИЦА""",1145532.4,"МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ТРУБЧЕВСКОГО МУНИЦИПАЛЬНОГО РАЙОНА ""ЖИЛИЩНО-КОММУНАЛЬНЫЙ СЕРВИС Г. ТРУБЧЕВСК"" (МУП ""ЖИЛКОМСЕРВИС Г. ТРУБЧЕВСК"")",3252002330.0,325201001.0,,3252002330,,86,Q,46,G,Здравоохранение,Здравоохранение и социальные услуги,Оптовая торговля,Торговля оптовая и розничная
№ 2780733157126000031,108672875,Исполнение завершено,"САНКТ-ПЕТЕРБУРГСКОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""ЦЕНТР ФИЗИЧЕСКОЙ КУЛЬТУРЫ, СПОРТА И ЗДОРОВЬЯ КРАСНОСЕЛЬСКОГО РАЙОНА""",39238.98,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЗАГ ГРУПП"" (ООО ""ЗАГ ГРУПП"")",7806604787.0,780601001.0,,7806604787,,84,O,46,G,Государственное управление,Государственное управление и безопасность,Оптовая торговля,Торговля оптовая и розничная
№ 3503603417926000005,108638977,Исполнение завершено,"МУНИЦИПАЛЬНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА №20 ИМЕНИ ГЕРОЯ РОССИЙСКОЙ ФЕДЕРАЦИИ И.Д. СЕРГУНА""",166566.48,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РУМЕДИКУС"" (ООО ""РУМЕДИКУС"")",5044146133.0,504401001.0,,5044146133,,85,P,46,G,Образование,Образование,Оптовая торговля,Торговля оптовая и розничная
№ 2500300677926000697,107871788,Исполнение завершено,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""МОСКОВСКИЙ ЦЕНТР АККРЕДИТАЦИИ И ПРОФЕССИОНАЛЬНОГО РАЗВИТИЯ В СФЕРЕ ЗДРАВООХРАНЕНИЯ""",136500.0,Федина Зоя Владимировна,7014037716.0,,,701403771600,,86,Q,IP,IP,Здравоохранение,Здравоохранение и социальные услуги,ИП / Физлицо,ИП / Физлицо
№ 2890503725926000127,108572849,Исполнение завершено,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ПРОФЕССИОНАЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ЯМАЛО-НЕНЕЦКОГО АВТОНОМНОГО ОКРУГА ""НОЯБРЬСКИЙ КОЛЛЕДЖ ПРОФЕССИОНАЛЬНЫХ И ИНФОРМАЦИОННЫХ ТЕХНОЛОГИЙ""",17490.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ИЗДАТЕЛЬСТВО ""СПОРТ"" (ООО ""СПОРТ"")",7728194347.0,772801001.0,,7728194347,,85,P,58,J,Образование,Образование,Издательская деятельность,Информация и связь
№ 3010800325426000007,109120935,Исполнение завершено,"ХАКУРИНОХАБЛЬСКОЕ МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ДОШКОЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""ДЕТСКИЙ САД ОБЩЕРАЗВИВАЮЩЕГО ВИДА № 1 ""НАСЫП""",50113.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПТ-ПРОЕКТ"" (ООО ""ПТ-ПРОЕКТ"")",2311111846.0,231101001.0,,2311111846,,85,P,43,F,Образование,Образование,Специализированные строительные работы,Строительство
№ 3366205382826000006,108482121,Исполнение завершено,МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА № 39,52849.12,ГРИГОРАШ ЕКАТЕРИНА АНДРЕЕВНА,8901035594.0,,,890103559488,,85,P,IP,IP,Образование,Образование,ИП / Физлицо,ИП / Физлицо
№ 1526204221525000234,105500594,Исполнение завершено,ГЛАВНОЕ УПРАВЛЕНИЕ ФЕДЕРАЛЬНОЙ СЛУЖБЫ ИСПОЛНЕНИЯ НАКАЗАНИЙ ПО НИЖЕГОРОДСКОЙ ОБЛАСТИ,1162300.0,"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ИСПРАВИТЕЛЬНАЯ КОЛОНИЯ № 17 ГЛАВНОГО УПРАВЛЕНИЯ ФЕДЕРАЛЬНОЙ СЛУЖБЫ ИСПОЛНЕНИЯ НАКАЗАНИЙ ПО НИЖЕГОРОДСКОЙ ОБЛАСТИ"" (ФКУ ИК-17 ГУФСИН РОССИИ ПО НИЖЕГОРОДСКОЙ ОБЛАСТИ)",5219004157.0,521901001.0,,5219004157,,84,O,84,O,Государственное управление,Государственное управление и безопасность,Государственное управление,Государственное управление и безопасность
№ 2434701047525000194,103893613,Исполнение завершено,МИНИСТЕРСТВО ЗДРАВООХРАНЕНИЯ КИРОВСКОЙ ОБЛАСТИ,189444.6,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПРИМАФАРМ"" (ООО ""ПРИМАФАРМ"")",9731038990.0,773401001.0,,9731038990,,84,O,21,C,Государственное управление,Государственное управление и безопасность,Производство лекарств,Обрабатывающие производства
№ 2780733157125000200,103982291,Исполнение завершено,"САНКТ-ПЕТЕРБУРГСКОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""ЦЕНТР ФИЗИЧЕСКОЙ КУЛЬТУРЫ, СПОРТА И ЗДОРОВЬЯ КРАСНОСЕЛЬСКОГО РАЙОНА""",948416.43,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РИТВОС"" (ООО ""РИТВОС"")",7743131221.0,774301001.0,,7743131221,,84,O,46,G,Государственное управление,Государственное управление и безопасность,Оптовая торговля,Торговля оптовая и розничная
№ 2323000334725000008,106624418,Исполнение завершено,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""ТРУБЧЕВСКАЯ ЦЕНТРАЛЬНАЯ РАЙОННАЯ БОЛЬНИЦА""",71492.58,"ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ БРЯНСКОЙ ОБЛАСТИ ""БРЯНСККОММУНЭНЕРГО"" (ГУП ""БРЯНСККОММУНЭНЕРГО"")",3250054100.0,325701001.0,,3250054100,,86,Q,35,D,Здравоохранение,Здравоохранение и социальные услуги,"Электроэнергия, газ и пар","Электроэнергия, газ и пар"
№ 2027403310326000146,108501254,Исполнение завершено,ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ РЕСПУБЛИКАНСКИЙ КАРДИОЛОГИЧЕСКИЙ ЦЕНТР,54731.25,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЛЭЙБЛ-СТИКЕР"" (ООО ""ЛЭЙБЛ-СТИКЕР"")",7810441736.0,781401001.0,,7810441736,,86,Q,46,G,Здравоохранение,Здравоохранение и социальные услуги,Оптовая торговля,Торговля оптовая и розничная
№ 3090000813026000085,109100695,Исполнение завершено,"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ЦЕНТР ОБЕСПЕЧЕНИЯ ДЕЯТЕЛЬНОСТИ ОРГАНОВ МЕСТНОГО САМОУПРАВЛЕНИЯ КАРАЧАЕВСКОГО ГОРОДСКОГО ОКРУГА""",3800.0,БОТАШЕВА МАРИНА ХАНАФИЕВНА,916900634.0,,,091690063476,,84,O,IP,IP,Государственное управление,Государственное управление и безопасность,ИП / Физлицо,ИП / Физлицо
№ 2594402010126000132,109023744,Исполнение завершено,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ПЕРМСКОГО КРАЯ ""ОСИНСКАЯ ЦЕНТРАЛЬНАЯ РАЙОННАЯ БОЛЬНИЦА""",41890.4,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АСКОР-СЕРВИС""",5903026577.0,590301001.0,,5903026577,,86,Q,46,G,Здравоохранение,Здравоохранение и социальные услуги,Оптовая торговля,Торговля оптовая и розничная
№ 2027403310326000142,108464843,Исполнение завершено,ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ РЕСПУБЛИКАНСКИЙ КАРДИОЛОГИЧЕСКИЙ ЦЕНТР,59899.74,КОРОБЕЙНИКОВ ВАСИЛИЙ ВЛАДИМИРОВИЧ,6617071555.0,,,661707155598,,86,Q,IP,IP,Здравоохранение,Здравоохранение и социальные услуги,ИП / Физлицо,ИП / Физлицо
№ 2683200661519000082,49132683,Исполнение завершено,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""ТАМБОВСКИЙ ОБЛАСТНОЙ ОНКОЛОГИЧЕСКИЙ КЛИНИЧЕСКИЙ ДИСПАНСЕР""",490620.0,"Акционерное общество ""Ланцет""Код по ОКПО:76056523Дата постановки на учет:08.02.2005",7718538045.0,771801001.0,,7718538045,,86,Q,46,G,Здравоохранение,Здравоохранение и социальные услуги,Оптовая торговля,Торговля оптовая и розничная
№ 2263209466326000010,106010254,Исполнение завершено,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ СТАВРОПОЛЬСКОГО КРАЯ ""ПЯТИГОРСКИЙ МЕЖРАЙОННЫЙ ОНКОЛОГИЧЕСКИЙ ДИСПАНСЕР""",11262222.72,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ФАРМАТЛОН"" (ООО ""ФАРМАТЛОН"")",5047277053.0,504701001.0,,5047277053,,86,Q,21,C,Здравоохранение,Здравоохранение и социальные услуги,Производство лекарств,Обрабатывающие производства
№ 2323000334725000007,106325894,Исполнение завершено,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""ТРУБЧЕВСКАЯ ЦЕНТРАЛЬНАЯ РАЙОННАЯ БОЛЬНИЦА""",4300000.0,"ФИЛИАЛ ""БРЯНСКЭНЕРГОСБЫТ""Является обособленным подразделением юридического лицаКПП крупнейшегоналогоплательщика:",8602173527.0,325743001.0,,8602173527,,86,Q,35,D,Здравоохранение,Здравоохранение и социальные услуги,"Электроэнергия, газ и пар","Электроэнергия, газ и пар"
№ 2745100771726000006,108411284,Исполнение завершено,"ОБЛАСТНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ КУЛЬТУРЫ ""ГОСУДАРСТВЕННЫЙ ИСТОРИЧЕСКИЙ МУЗЕЙ ЮЖНОГО УРАЛА""",86820.11,ВАХИТОВ НИКИТА АЛЕКСЕЕВИЧ,7460023461.0,,,746002346120,,91,R,IP,IP,"Библиотеки, музеи, архивы","Культура, спорт, досуг",ИП / Физлицо,ИП / Физлицо
№ 2366200608825002513,109048891,Исполнение завершено,"БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ВОРОНЕЖСКОЙ ОБЛАСТИ ""ВОРОНЕЖСКАЯ ОБЛАСТНАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА №1""",249950.7,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ВАЛЕОФАРМ"" (ООО ""ВАЛЕОФАРМ"")",3662101214.0,366301001.0,,3662101214,,86,Q,21,C,Здравоохранение,Здравоохранение и социальные услуги,Производство лекарств,Обрабатывающие производства
№ 2770912942326000144,108553797,Исполнение завершено,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ГОРОДА  МОСКВЫ ""ГОРОДСКАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА ИМЕНИ И.В. ДАВЫДОВСКОГО ДЕПАРТАМЕНТА ЗДРАВООХРАНЕНИЯ ГОРОДА МОСКВЫ""",174000.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЭНЕРГОТЕХ"" (ООО ""ЭНЕРГОТЕХ"")",5038154344.0,503801001.0,,5038154344,,86,Q,35,D,Здравоохранение,Здравоохранение и социальные услуги,"Электроэнергия, газ и пар","Электроэнергия, газ и пар"
№ 2402712264525000699,109090629,Исполнение завершено,"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ КАЛУЖСКОЙ ОБЛАСТИ ""ЦЕНТР ОРГАНИЗАЦИИ ЗАКУПОК В СФЕРЕ ЗДРАВООХРАНЕНИЯ""",7522676.58,"ГОСУДАРСТВЕННОЕ ПРЕДПРИЯТИЕ КАЛУЖСКОЙ ОБЛАСТИ ""КАЛУГАФАРМАЦИЯ"" (ГП ""КАЛУГАФАРМАЦИЯ"")",4027022305.0,402701001.0,,4027022305,,84,O,21,C,Государственное управление,Государственное управление и безопасность,Производство лекарств,Обрабатывающие производства
№ 2434701047525000135,104218744,Исполнение завершено,МИНИСТЕРСТВО ЗДРАВООХРАНЕНИЯ КИРОВСКОЙ ОБЛАСТИ,1450200.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПРИМАФАРМ"" (ООО ""ПРИМАФАРМ"")",9731038990.0,773401001.0,,9731038990,,84,O,21,C,Государственное управление,Государственное управление и безопасность,Производство лекарств,Обрабатывающие производства
№ 3010800325426000005,109121032,Исполнение завершено,"ХАКУРИНОХАБЛЬСКОЕ МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ДОШКОЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""ДЕТСКИЙ САД ОБЩЕРАЗВИВАЮЩЕГО ВИДА № 1 ""НАСЫП""",148544.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПТ-ПРОЕКТ"" (ООО ""ПТ-ПРОЕКТ"")",2311111846.0,231101001.0,,2311111846,,85,P,43,F,Образование,Образование,Специализированные строительные работы,Строительство
№ 1526204221525000200,108415401,Исполнение завершено,ГЛАВНОЕ УПРАВЛЕНИЕ ФЕДЕРАЛЬНОЙ СЛУЖБЫ ИСПОЛНЕНИЯ НАКАЗАНИЙ ПО НИЖЕГОРОДСКОЙ ОБЛАСТИ,189810.0,"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ИСПРАВИТЕЛЬНАЯ КОЛОНИЯ № 3 УПРАВЛЕНИЯ ФЕДЕРАЛЬНОЙ СЛУЖБЫ ИСПОЛНЕНИЯ НАКАЗАНИЙ ПО ВЛАДИМИРСКОЙ ОБЛАСТИ"" (ФКУ ИК-3 УФСИН РОССИИ ПО ВЛАДИМИРСКОЙ ОБЛАСТИ)",3328102753.0,332801001.0,,3328102753,,84,O,84,O,Государственное управление,Государственное управление и безопасность,Государственное управление,Государственное управление и безопасность
№ 2027403310325000361,102307152,Исполнение завершено,ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ РЕСПУБЛИКАНСКИЙ КАРДИОЛОГИЧЕСКИЙ ЦЕНТР,168000.0,КОРТУНОВ НИКИТА АНДРЕЕВИЧ,275084648.0,,,027508464865,,86,Q,IP,IP,Здравоохранение,Здравоохранение и социальные услуги,ИП / Физлицо,ИП / Физлицо
№ 2323000334725000011,106658381,Исполнение завершено,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""ТРУБЧЕВСКАЯ ЦЕНТРАЛЬНАЯ РАЙОННАЯ БОЛЬНИЦА""",1212766.56,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГАЗПРОМ МЕЖРЕГИОНГАЗ БРЯНСК"" (ООО ""ГАЗПРОМ МЕЖРЕГИОНГАЗ БРЯНСК"")КПП крупнейшегоналогоплательщика:",3201005558.0,325701001.0,,3201005558,,86,Q,46,G,Здравоохранение,Здравоохранение и социальные услуги,Оптовая торговля,Торговля оптовая и розничная
№ 2351400132925000140,105083567,Исполнение завершено,"БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ВОЛОГОДСКОЙ ОБЛАСТИ ""НИКОЛЬСКАЯ ЦЕНТРАЛЬНАЯ РАЙОННАЯ БОЛЬНИЦА""",138380.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЛЕКПРОФИ"" (ООО ""ЛЕКПРОФИ"")",5029240290.0,502901001.0,,5029240290,,86,Q,46,G,Здравоохранение,Здравоохранение и социальные услуги,Оптовая торговля,Торговля оптовая и розничная
№ 2110148701526000069,108485565,Исполнение завершено,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ РЕСПУБЛИКИ КОМИ ""РЕСПУБЛИКАНСКИЙ КОЖНО-ВЕНЕРОЛОГИЧЕСКИЙ ДИСПАНСЕР""",106500.0,БУЛЬДИН ДМИТРИЙ АЛЕКСАНДРОВИЧ,1101147496.0,,,110114749635,,86,Q,IP,IP,Здравоохранение,Здравоохранение и социальные услуги,ИП / Физлицо,ИП / Физлицо
№ 2594402010126000127,109023353,Исполнение завершено,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ПЕРМСКОГО КРАЯ ""ОСИНСКАЯ ЦЕНТРАЛЬНАЯ РАЙОННАЯ БОЛЬНИЦА""",34380.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АСКОР-СЕРВИС""",5903026577.0,590301001.0,,5903026577,,86,Q,46,G,Здравоохранение,Здравоохранение и социальные услуги,Оптовая торговля,Торговля оптовая и розничная
№ 1526204221525000204,104987280,Исполнение завершено,ГЛАВНОЕ УПРАВЛЕНИЕ ФЕДЕРАЛЬНОЙ СЛУЖБЫ ИСПОЛНЕНИЯ НАКАЗАНИЙ ПО НИЖЕГОРОДСКОЙ ОБЛАСТИ,4353000.0,"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ИСПРАВИТЕЛЬНАЯ КОЛОНИЯ № 11 УПРАВЛЕНИЯ ФЕДЕРАЛЬНОЙ СЛУЖБЫ ИСПОЛНЕНИЯ НАКАЗАНИЙ ПО КИРОВСКОЙ ОБЛАСТИ"" (ФКУ ИК-11 УФСИН РОССИИ ПО КИРОВСКОЙ ОБЛАСТИ)",4341017869.0,431201001.0,,4341017869,,84,O,84,O,Государственное управление,Государственное управление и безопасность,Государственное управление,Государственное управление и безопасность
№ 2602702589225000001,109144651,Исполнение завершено,МИНИСТЕРСТВО ФИНАНСОВ ПСКОВСКОЙ ОБЛАСТИ,867328.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КЕЙСИСТЕМС"" (ООО ""КС"")",2128050753.0,213001001.0,,2128050753,,84,O,46,G,Государственное управление,Государственное управление и безопасность,Оптовая торговля,Торговля оптовая и розничная
№ 2683201012124000108,102062479,Исполнение завершено,"ТАМБОВСКОЕ ОБЛАСТНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""ГОРОДСКАЯ КЛИНИЧЕСКАЯ ПОЛИКЛИНИКА № 5 Г.ТАМБОВА""",566496.0,"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОСТЕЛЕКОМ"" (ПАО ""РОСТЕЛЕКОМ"")КПП крупнейшегоналогоплательщика:",7707049388.0,784201001.0,,7707049388,,86,Q,61,J,Здравоохранение,Здравоохранение и социальные услуги,Телекоммуникации,Информация и связь
№ 2027403310325000439,108599947,Исполнение завершено,ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ РЕСПУБЛИКАНСКИЙ КАРДИОЛОГИЧЕСКИЙ ЦЕНТР,205715.2,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ФИРМА ЕВРОСЕРВИС"" (АО ""ФИРМА ЕВРОСЕРВИС"")КПП крупнейшегоналогоплательщика:",7731241639.0,500301001.0,,7731241639,,86,Q,46,G,Здравоохранение,Здравоохранение и социальные услуги,Оптовая торговля,Торговля оптовая и розничная
№ 2323000334725000032,106625178,Исполнение завершено,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""ТРУБЧЕВСКАЯ ЦЕНТРАЛЬНАЯ РАЙОННАЯ БОЛЬНИЦА""",7189042.1,"ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ БРЯНСКОЙ ОБЛАСТИ ""БРЯНСККОММУНЭНЕРГО"" (ГУП ""БРЯНСККОММУНЭНЕРГО"")",3250054100.0,325701001.0,,3250054100,,86,Q,35,D,Здравоохранение,Здравоохранение и социальные услуги,"Электроэнергия, газ и пар","Электроэнергия, газ и пар"
№ 2450109049026000223,107948476,Исполнение завершено,"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""МЕДИЦИНСКИЙ ИНФОРМАЦИОННО-АНАЛИТИЧЕСКИЙ ЦЕНТР В КУРГАНСКОЙ ОБЛАСТИ""",1677676.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТОРГОВЫЙ ДОМ БФ"" (ООО ""ТОРГОВЫЙ ДОМ БФ"")",4003032047.0,772201001.0,,4003032047,,84,O,46,G,Государственное управление,Государственное управление и безопасность,Оптовая торговля,Торговля оптовая и розничная
№ 1505301350025000043,107866615,Исполнение завершено,"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""КЛИНИЧЕСКАЯ БОЛЬНИЦА № 21 ФЕДЕРАЛЬНОГО МЕДИКО-БИОЛОГИЧЕСКОГО АГЕНТСТВА""",1901190.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СИГМА ГРУПП"" (ООО ""СИГМА ГРУПП"")",7727321970.0,772701001.0,,7727321970,,86,Q,46,G,Здравоохранение,Здравоохранение и социальные услуги,Оптовая торговля,Торговля оптовая и розничная
№ 2321400053225000067,109050156,Исполнение завершено,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""КАРАЧЕВСКАЯ ЦЕНТРАЛЬНАЯ РАЙОННАЯ БОЛЬНИЦА""",393600.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МЕДИКАЛ ЛИЗИНГ-КОНСАЛТИНГ"" (ООО ""МЛК"")",7733507267.0,771401001.0,,7733507267,,86,Q,64,K,Здравоохранение,Здравоохранение и социальные услуги,Финансовые услуги,Финансовая и страховая деятельность
№ 1526204221525000203,108415438,Исполнение завершено,ГЛАВНОЕ УПРАВЛЕНИЕ ФЕДЕРАЛЬНОЙ СЛУЖБЫ ИСПОЛНЕНИЯ НАКАЗАНИЙ ПО НИЖЕГОРОДСКОЙ ОБЛАСТИ,492500.0,"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ИСПРАВИТЕЛЬНАЯ КОЛОНИЯ № 3 УПРАВЛЕНИЯ ФЕДЕРАЛЬНОЙ СЛУЖБЫ ИСПОЛНЕНИЯ НАКАЗАНИЙ ПО ВЛАДИМИРСКОЙ ОБЛАСТИ"" (ФКУ ИК-3 УФСИН РОССИИ ПО ВЛАДИМИРСКОЙ ОБЛАСТИ)",3328102753.0,332801001.0,,3328102753,,84,O,84,O,Государственное управление,Государственное управление и безопасность,Государственное управление,Государственное управление и безопасность
№ 2633500917226000087,108795498,Исполнение завершено,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ САМАРСКОЙ ОБЛАСТИ ""ЧАПАЕВСКИЙ ДОМ-ИНТЕРНАТ ДЛЯ ПРЕСТАРЕЛЫХ,ИНВАЛИДОВ""",1719.6,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ФИТОЛЮКС"" (ООО ""ФИТОЛЮКС"")",6315559717.0,631501001.0,,6315559717,,87,Q,46,G,Уход с обеспечением проживания,Здравоохранение и социальные услуги,Оптовая торговля,Торговля оптовая и розничная
№ 3613500757026000015,109138894,Исполнение завершено,КОМИТЕТ ПО УПРАВЛЕНИЮ МУНИЦИПАЛЬНЫМ ИМУЩЕСТВОМ АДМИНИСТРАЦИИ УСТЬ-ДОНЕЦКОГО РАЙОНА,25425.0,ГАВРИЛОВА ИРИНА ВАСИЛЬЕВНА,6155009929.0,,,615500992972,,84,O,IP,IP,Государственное управление,Государственное управление и безопасность,ИП / Физлицо,ИП / Физлицо
№ 3500911192425000054,108301674,Исполнение завершено,"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ГОРОДСКОГО ОКРУГА ДОМОДЕДОВО МОСКОВСКОЙ ОБЛАСТИ ""СПЕЦИАЛИЗИРОВАННАЯ СЛУЖБА В СФЕРЕ ПОГРЕБЕНИЯ И ПОХОРОННОГО ДЕЛА""",45000.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СПЕКТР"" (ООО ""СПЕКТР"")",5009100746.0,500901001.0,,5009100746,,84,O,46,G,Государственное управление,Государственное управление и безопасность,Оптовая торговля,Торговля оптовая и розничная
