reg_number,contract_info_id,status,customer,price,supplier_name,supplier_inn,supplier_kpp,supplier_address,supplier_phone,supplier_email
№ 2771941686826000024,108160220,Исполнение завершено,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА СОКОЛИНАЯ ГОРА""","190 082,35 ₽","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""УРСА"" (ООО ""УРСА"")ИНН:7810947240КПП:781001001",7810947240,781001001,"196006, Г.САНКТ-ПЕТЕРБУРГ, вн.тер.г. МУНИЦИПАЛЬНЫЙ ОКРУГ МОСКОВСКАЯ ЗАСТАВА, Ш МИТРОФАНЬЕВСКОЕ, Д. 27, ЛИТЕРА А, ПОМЕЩ. 3-Н, ОФИС 9/9","196084, Г.САНКТ-ПЕТЕРБУРГ, Ш. МИТРОФАНЬЕВСКОЕ, Д. 27, ЛИТЕРА А, ПОМЕЩ. 3-Н",
№ 3501901081226000002,107605867,Исполнение завершено,"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА № 1 ИМЕНИ ГЕРОЯ СОВЕТСКОГО СОЮЗА А.И. ВЫБОРНОВА""","1 349 667,66 ₽","АКЦИОНЕРНОЕ ОБЩЕСТВО ""ИЗДАТЕЛЬСТВО ""ПРОСВЕЩЕНИЕ"" (АО ""ИЗДАТЕЛЬСТВО ""ПРОСВЕЩЕНИЕ"")ИНН:7715995942КПП:770701001",7715995942,770701001,"127473, Г.МОСКВА, вн.тер.г. МУНИЦИПАЛЬНЫЙ ОКРУГ ТВЕРСКОЙ, УЛ КРАСНОПРОЛЕТАРСКАЯ, Д. 16, СТР. 3, ПОМЕЩ. 1Н","127473, г.Москва, вн.тер.г. муниципальный округ Тверской ул. Краснопролетарская, д.16, стр.3, помещ.1Н; -; -",
№ 3370601729826000010,108966988,Исполнение завершено,"МУНИЦИПАЛЬНОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ АДМИНИСТРАТИВНЫМИ ЗДАНИЯМИ И ТРАНСПОРТОМ""","23 960,00 ₽",ШАПОВАЛОВ АЛЕКСАНДР НИКОЛАЕВИЧИндивидуальный предпринимательИНН:613206601726,613206601726,,"346630, РОСТОВСКАЯ ОБЛАСТЬ, Г. СЕМИКАРАКОРСК, Семикаракорск, ПР-КТ БОРИСА КУЛИКОВА, Д. 57, КВ. 2","346630, Ростовская область, город СЕМИКАРАКОРСК, улица Бориса Куликова д57 кв.2",
№ 2211500399626000010,108932707,Исполнение завершено,"БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЧУВАШСКОЙ РЕСПУБЛИКИ ""ЦИВИЛЬСКИЙ ЦЕНТР СОЦИАЛЬНОГО ОБСЛУЖИВАНИЯ НАСЕЛЕНИЯ"" МИНИСТЕРСТВА ТРУДА И СОЦИАЛЬНОЙ ЗАЩИТЫ ЧУВАШСКОЙ РЕСПУБЛИКИ","666 600,00 ₽",ЗЕЛИНСКАЯ ОКСАНА ЛЕОНИДОВНАИндивидуальный предпринимательИНН:213002983755,213002983755,,"143180, МОСКОВСКАЯ ОБЛАСТЬ, г.о. ОДИНЦОВСКИЙ, Г ЗВЕНИГОРОД, УЛ ВАСИЛИЯ ФАБРИЧНОВА, Д. 18, КВ. 5","428003, г Чебоксары, ул. Маршака, д. 6, корпус 1, кв. 29",
№ 2352802788826000056,108883816,Исполнение завершено,"БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ВОЛОГОДСКОЙ ОБЛАСТИ ""ЧЕРЕПОВЕЦКАЯ СТОМАТОЛОГИЧЕСКАЯ ПОЛИКЛИНИКА № 1""","995 833,33 ₽","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИНЖМЕДСЕРВИС"" (ООО ""ИМС"")ИНН:3525208773КПП:352501001",3525208773,352501001,"160000, ВОЛОГОДСКАЯ ОБЛАСТЬ, Г. ВОЛОГДА, УЛ. ЛЕРМОНТОВА, Д. 15, ОФИС 18, 19, 20, 3, 3А, 21А","160000 г.Вологда , ул. Лермонтова , д. 15, 2 этаж, оф. 19",
№ 2352802788826000019,107403817,Исполнение завершено,"БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ВОЛОГОДСКОЙ ОБЛАСТИ ""ЧЕРЕПОВЕЦКАЯ СТОМАТОЛОГИЧЕСКАЯ ПОЛИКЛИНИКА № 1""","154 000,00 ₽","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МАСТЕР ФАРМ"" (ООО ""МАСТЕР ФАРМ"")ИНН:5408291034КПП:540801001",5408291034,540801001,"630117, НОВОСИБИРСКАЯ ОБЛАСТЬ, Г НОВОСИБИРСК, УЛ АРБУЗОВА, Д. 2/14, ОФИС 10","630117, ОБЛ НОВОСИБИРСКАЯ, Г НОВОСИБИРСК, УЛ АРБУЗОВА, ДОМ 2/14, ОФИС 10",
№ 2352802788826000018,107403757,Исполнение завершено,"БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ВОЛОГОДСКОЙ ОБЛАСТИ ""ЧЕРЕПОВЕЦКАЯ СТОМАТОЛОГИЧЕСКАЯ ПОЛИКЛИНИКА № 1""","407 550,00 ₽","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТОРГОВЫЙ ДОМ ЮНИТЭФ"" (ООО ""ТД ЮНИТЭФ"")ИНН:7733303351КПП:773301001",7733303351,773301001,"125481, Г.МОСКВА, УЛ. ФОМИЧЁВОЙ, Д. 12, К. 1, КВ. 138","125481, Г МОСКВА, УЛ ФОМИЧЁВОЙ, ДОМ 12, КОРПУС 1, КВАРТИРА 138",
№ 2352802788826000017,107316893,Исполнение завершено,"БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ВОЛОГОДСКОЙ ОБЛАСТИ ""ЧЕРЕПОВЕЦКАЯ СТОМАТОЛОГИЧЕСКАЯ ПОЛИКЛИНИКА № 1""","73 140,00 ₽","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МАКРОПЛАСТ"" (ООО ""МАКРОПЛАСТ"")ИНН:7840036037КПП:784001001",7840036037,784001001,"191186, Г.САНКТ-ПЕТЕРБУРГ, вн.тер.г. МУНИЦИПАЛЬНЫЙ ОКРУГ № 78, УЛ КАЗАНСКАЯ, Д. 7, ЛИТЕРА В, ПОМЕЩ./КОМ. 7-Н/11, ОФИС 305/2","191186, Г.Санкт-Петербург, УЛ КАЗАНСКАЯ",
№ 2352802788826000012,106570771,Исполнение завершено,"БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ВОЛОГОДСКОЙ ОБЛАСТИ ""ЧЕРЕПОВЕЦКАЯ СТОМАТОЛОГИЧЕСКАЯ ПОЛИКЛИНИКА № 1""","812,41 ₽","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ПКФ ""ПАН-ТРЕЙДИНГ"" (ООО ПКФ ""ПАН-ТРЕЙДИНГ"")ИНН:7839065499КПП:783901001",7839065499,783901001,"190020, Г.САНКТ-ПЕТЕРБУРГ, НАБ. ОБВОДНОГО КАНАЛА, Д. 136, К. 6 СТР1, ОФИС 21-3","190121, Г САНКТ-ПЕТЕРБУРГ, НАБ РЕКИ ПРЯЖКИ, ДОМ 18, ЛИТЕР А, ПОМЕЩЕНИЕ 11-Н",
№ 2352802788826000005,106048800,Исполнение завершено,"БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ВОЛОГОДСКОЙ ОБЛАСТИ ""ЧЕРЕПОВЕЦКАЯ СТОМАТОЛОГИЧЕСКАЯ ПОЛИКЛИНИКА № 1""","2 673,86 ₽","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ПКФ ""ПАН-ТРЕЙДИНГ"" (ООО ПКФ ""ПАН-ТРЕЙДИНГ"")ИНН:7839065499КПП:783901001",7839065499,783901001,"190020, Г.САНКТ-ПЕТЕРБУРГ, НАБ. ОБВОДНОГО КАНАЛА, Д. 136, К. 6 СТР1, ОФИС 21-3","190121, Г САНКТ-ПЕТЕРБУРГ, НАБ РЕКИ ПРЯЖКИ, ДОМ 18, ЛИТЕР А, ПОМЕЩЕНИЕ 11-Н",
№ 2352802788825000121,106549300,Исполнение завершено,"БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ВОЛОГОДСКОЙ ОБЛАСТИ ""ЧЕРЕПОВЕЦКАЯ СТОМАТОЛОГИЧЕСКАЯ ПОЛИКЛИНИКА № 1""","26 000,00 ₽","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ФАРМА-ЛАЙН"" (ООО ""ФАРМА-ЛАЙН"")ИНН:3526022161КПП:352501001",3526022161,352501001,"160028, ВОЛОГОДСКАЯ ОБЛАСТЬ, г.о. ГОРОД ВОЛОГДА, Г ВОЛОГДА, Ш ОКРУЖНОЕ, Д. 13В","160000, ОБЛ ВОЛОГОДСКАЯ, Г ВОЛОГДА, Ш ОКРУЖНОЕ, 13 В",
№ 2771941686824000091,98967146,Исполнение завершено,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА СОКОЛИНАЯ ГОРА""","30 277,52 ₽",ЦЫГАНКОВ ИВАН АНАТОЛЬЕВИЧИндивидуальный предпринимательИНН:670301148883,670301148883,,"216240, СМОЛЕНСКАЯ ОБЛАСТЬ 67, Г. ДЕМИДОВ, ПЕР. ИМ Б.А.ПЕТРОВА, Д.3",,+7 (920) 307-36-33ip-tsygankov@mail.ru
№ 2352802788825000119,106549301,Исполнение завершено,"БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ВОЛОГОДСКОЙ ОБЛАСТИ ""ЧЕРЕПОВЕЦКАЯ СТОМАТОЛОГИЧЕСКАЯ ПОЛИКЛИНИКА № 1""","7 900,00 ₽","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ФАРМА-ЛАЙН"" (ООО ""ФАРМА-ЛАЙН"")ИНН:3526022161КПП:352501001",3526022161,352501001,"160028, ВОЛОГОДСКАЯ ОБЛАСТЬ, г.о. ГОРОД ВОЛОГДА, Г ВОЛОГДА, Ш ОКРУЖНОЕ, Д. 13В","160000, ОБЛ ВОЛОГОДСКАЯ, Г ВОЛОГДА, Ш ОКРУЖНОЕ, 13 В",
№ 3503604168026000002,108675317,Исполнение завершено,"МУНИЦИПАЛЬНОЕ УЧРЕЖДЕНИЕ ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ ""СПОРТИВНАЯ ШКОЛА ОЛИМПИЙСКОГО РЕЗЕРВА ""ЛИДЕР""","395 996,04 ₽","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АРТАНС"" (ООО ""АРТАНС"")ИНН:7703818642КПП:770501001",7703818642,770501001,"115114, Г.МОСКВА, вн.тер.г. МУНИЦИПАЛЬНЫЙ ОКРУГ ЗАМОСКВОРЕЧЬЕ, НАБ ШЛЮЗОВАЯ, Д. 8, СТР. 1, ПОМЕЩ. 5ВН","115114, Г МОСКВА, ШЛЮЗОВАЯ НАБЕРЕЖНАЯ, 8, СТРОЕНИЕ 1",
№ 2352802788826000060,108983122,Исполнение завершено,"БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ВОЛОГОДСКОЙ ОБЛАСТИ ""ЧЕРЕПОВЕЦКАЯ СТОМАТОЛОГИЧЕСКАЯ ПОЛИКЛИНИКА № 1""","120 590,00 ₽","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДЕНТАЛ ТРЕЙД"" (ООО ""ДЕНТАЛ ТРЕЙД"")ИНН:3525407306КПП:352501001",3525407306,352501001,"160000, ВОЛОГОДСКАЯ ОБЛАСТЬ, г.о. ГОРОД ВОЛОГДА, Г. ВОЛОГДА, УЛ. ВАРЕНЦОВОЙ, Д. 7, ПОМЕЩ 17","160000, ОБЛ ВОЛОГОДСКАЯ, Г ВОЛОГДА, УЛ ВАРЕНЦОВОЙ, Д. 7, ПОМЕЩ. 17",
№ 2352802788826000059,108983129,Исполнение завершено,"БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ВОЛОГОДСКОЙ ОБЛАСТИ ""ЧЕРЕПОВЕЦКАЯ СТОМАТОЛОГИЧЕСКАЯ ПОЛИКЛИНИКА № 1""","10 500,00 ₽","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДЕНТАЛ ТРЕЙД"" (ООО ""ДЕНТАЛ ТРЕЙД"")ИНН:3525407306КПП:352501001",3525407306,352501001,"160000, ВОЛОГОДСКАЯ ОБЛАСТЬ, г.о. ГОРОД ВОЛОГДА, Г. ВОЛОГДА, УЛ. ВАРЕНЦОВОЙ, Д. 7, ПОМЕЩ 17","160000, ОБЛ ВОЛОГОДСКАЯ, Г ВОЛОГДА, УЛ ВАРЕНЦОВОЙ, Д. 7, ПОМЕЩ. 17",
№ 2352802788826000029,107764687,Исполнение завершено,"БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ВОЛОГОДСКОЙ ОБЛАСТИ ""ЧЕРЕПОВЕЦКАЯ СТОМАТОЛОГИЧЕСКАЯ ПОЛИКЛИНИКА № 1""","185 000,00 ₽","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЭСКУЛАП"" (ООО ""ЭСКУЛАП"")ИНН:3525485181КПП:352501001",3525485181,352501001,"160002, ВОЛОГОДСКАЯ ОБЛАСТЬ, г.о. ГОРОД ВОЛОГДА, Г. ВОЛОГДА, УЛ. ЛЕЧЕБНАЯ, Д. 32А, ОФИС 5","160002, Вологодская область, УЛ ЛЕЧЕБНАЯ",
№ 2352802788826000047,108553833,Исполнение завершено,"БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ВОЛОГОДСКОЙ ОБЛАСТИ ""ЧЕРЕПОВЕЦКАЯ СТОМАТОЛОГИЧЕСКАЯ ПОЛИКЛИНИКА № 1""","257 750,00 ₽","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИНЖМЕДСЕРВИС"" (ООО ""ИМС"")ИНН:3525208773КПП:352501001",3525208773,352501001,"160000, ВОЛОГОДСКАЯ ОБЛАСТЬ, Г. ВОЛОГДА, УЛ. ЛЕРМОНТОВА, Д. 15, ОФИС 18, 19, 20, 3, 3А, 21А","160000 г.Вологда , ул. Лермонтова , д. 15, 2 этаж, оф. 19",
№ 2352802788826000058,108947041,Исполнение завершено,"БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ВОЛОГОДСКОЙ ОБЛАСТИ ""ЧЕРЕПОВЕЦКАЯ СТОМАТОЛОГИЧЕСКАЯ ПОЛИКЛИНИКА № 1""","192 750,00 ₽","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ФАРМА-ЛАЙН"" (ООО ""ФАРМА-ЛАЙН"")ИНН:3526022161КПП:352501001",3526022161,352501001,"160028, ВОЛОГОДСКАЯ ОБЛАСТЬ, г.о. ГОРОД ВОЛОГДА, Г ВОЛОГДА, Ш ОКРУЖНОЕ, Д. 13В","160000, ОБЛ ВОЛОГОДСКАЯ, Г ВОЛОГДА, Ш ОКРУЖНОЕ, 13 В",
№ 2352802788826000054,108796870,Исполнение завершено,"БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ВОЛОГОДСКОЙ ОБЛАСТИ ""ЧЕРЕПОВЕЦКАЯ СТОМАТОЛОГИЧЕСКАЯ ПОЛИКЛИНИКА № 1""","31 000,00 ₽","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ФАРМАЦЕВТИЧЕСКАЯ ФИРМА ""БИОСФЕРА"" (ООО ""Ф.Ф.""БИОСФЕРА"")ИНН:3525092166КПП:352501001",3525092166,352501001,"160032, ВОЛОГОДСКАЯ ОБЛАСТЬ, Г. ВОЛОГДА, УЛ. АРХАНГЕЛЬСКАЯ, Д. 11В","Вологодская область, г. Вологда, ул. Архангельская д. 11-В",
